0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
,,Number of establishments,Number of establishments,Number of establishments,Units,1/,..,..,..,..,..,..,..,..,..,..,..,4195,4235,4277,4310,4279,4216,4233,4237,4204,4464,4445,5189,5256,5637,5615,5960,"1/ As at June.  Source: Cat 8635.0 Tourist Accommodation Australia, Table 1. Up to 2016:  establishments with 15 rooms or more. From 2017: establishments with 10 rooms  or more.  2/ From 2017: no longer included in the data collection."
,,Number of rooms,Number of rooms,Number of rooms,Units,1/,169630,173876,172334,182061,190097,194926,198133,196431,204461,205495,232077,215172,218317,223319,226434,227320,226557,227168,230064,229646,248573,249131,274953,284680,296452,291041,304182,"1/ As at June.  Source: Cat 8635.0 Tourist Accommodation Australia, Table 1. Up to 2016:  establishments with 15 rooms or more. From 2017: establishments with 10 rooms  or more.  2/ From 2017: no longer included in the data collection."
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,1/ 2/,488629,504123,507807,536754,559665,567546,571560,563779,580252,586217,659731,619120,624751,637147,640139,640454,636002,631351,632257,635130,678361,676638,..,..,..,..,..,"1/ As at June.  Source: Cat 8635.0 Tourist Accommodation Australia, Table 1. Up to 2016:  establishments with 15 rooms or more. From 2017: establishments with 10 rooms  or more.  2/ From 2017: no longer included in the data collection."
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,1/,59.00,58.40,57.40,57.70,58.70,58.10,57.30,58.70,63.50,63.70,64.50,66.90,66.80,65.10,64.70,66.30,67.30,63.10,62.00,61.50,62.40,63.90,75.20,76.00,73.80,42.61,47.00,"1/ As at June.  Source: Cat 8635.0 Tourist Accommodation Australia, Table 1. Up to 2016:  establishments with 15 rooms or more. From 2017: establishments with 10 rooms  or more.  2/ From 2017: no longer included in the data collection."
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,2/,..,..,..,..,..,..,..,..,..,..,..,41.50,41.20,40.40,41.00,41.40,41.80,38.00,37.70,37.60,38.60,39.40,..,..,..,..,..,"1/ As at June.  Source: Cat 8635.0 Tourist Accommodation Australia, Table 1. Up to 2016:  establishments with 15 rooms or more. From 2017: establishments with 10 rooms  or more.  2/ From 2017: no longer included in the data collection."
,,Average length of stay,Average length of stay,Average length of stay,Nights,,10.40,2.10,2.00,2.20,2.20,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.20,2.30,2.30,2.30,2.30,2.30,2.20,..,..,..,..,..,..,..,..,"1/ As at June.  Source: Cat 8635.0 Tourist Accommodation Australia, Table 1. Up to 2016:  establishments with 15 rooms or more. From 2017: establishments with 10 rooms  or more.  2/ From 2017: no longer included in the data collection."
AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Hotels only.  2/ Based on summer season (May-October).
,,Number of establishments,Number of establishments,Number of establishments,Units,1/,18120,17990,17692,15780,15800,15517,15293,14914,14708,14435,14267,14051,14204,13756,13645,13461,13359,13203,13073,12839,12625,12366,12153,12003,11823,11612,11353,1/ Hotels only.  2/ Based on summer season (May-October).
,,Number of rooms,Number of rooms,Number of rooms,Units,1/,309742,307187,301479,302364,292104,286816,288346,282735,282614,290491,289879,282002,285558,286571,288934,290287,290509,292165,293702,291753,291974,291497,291046,292458,290878,290468,287528,1/ Hotels only.  2/ Based on summer season (May-October).
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,1/,..,..,..,584889,595456,588213,587305,569306,566274,570785,571377,572514,573726,579758,587899,589293,594357,594841,601483,598742,600342,601945,609393,615541,607010,608836,601641,1/ Hotels only.  2/ Based on summer season (May-October).
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Hotels only.  2/ Based on summer season (May-October).
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,2/,33.30,32.50,32.30,34.20,34.50,34.90,34.90,35.90,36.10,36.92,37.48,37.61,39.17,38.92,29.60,30.30,31.00,31.60,31.90,31.50,32.25,33.28,33.89,35.57,36.53,24.11,30.07,1/ Hotels only.  2/ Based on summer season (May-October).
,,Average length of stay,Average length of stay,Average length of stay,Nights,,4.21,4.08,4.00,3.87,3.83,3.73,3.71,3.72,3.66,3.58,3.55,3.46,3.41,3.40,3.40,3.60,3.64,3.62,3.60,3.52,3.43,3.40,3.35,3.34,3.31,3.91,3.59,1/ Hotels only.  2/ Based on summer season (May-October).
AZERBAIJAN,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,..,..,238,262,285,320,370,452,499,508,514,530,535,536,548,563,596,642,655,685,
,,Number of rooms,Number of rooms,Number of rooms,Units,,2000,5600,6000,6400,..,..,5259,5300,5034,9827,10661,11403,11829,12789,13964,14158,14815,15898,16559,17363,17953,19919,20778,22192,23865,24195,25445,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,4000,..,..,..,..,..,9403,9591,9569,21144,22492,24706,25483,28286,30571,30793,31979,32834,33951,35652,37278,40042,41611,46693,49980,50687,53049,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.00,13.00,14.00,14.00,13.00,12.00,15.00,17.00,18.00,18.00,6.50,2.10,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,..,..,..,..,..,3.00,3.00,4.00,4.00,3.80,3.70,3.10,3.10,3.10,2.90,2.63,2.52,2.51,1.96,1.89,1.83,1.72,1.74,1.49,1.53,
